,oof_honest,oof_uncensored,y
019cb9ad-473a-7ca7-a8da-9946cddbfdf9,0.56231440112277,0.29604859602590305,0
019cb9b3-06ad-7c87-88ad-0245ed41929d,0.5532630297029819,0.28724253342076045,0
019cb962-09df-7e01-b510-e421813b0807,0.5224508771138316,0.9915384882284988,0
019cb9e3-6b43-7d0c-8a66-8752b7a4d2f4,0.4292518999876267,0.35622061626304985,0
019cb9e6-d912-71bd-aae2-3587e7617e3e,0.026082051295163947,0.06879637679952924,0
019cb9ea-45fe-7d2e-9e63-abe785624c15,0.8872262724050815,0.6605572388088956,0
019cb9fb-7092-7331-81cd-431777b0dfe9,0.2765357079282569,0.2499744942450967,0
019cb9fd-1315-70fc-b73d-14762c35a5dc,0.1755089589922183,0.23567678689084762,0
019cb9ff-c95b-7f45-b1c9-753588d7eac1,0.45965195074652765,0.3680583039047043,0
019cba05-dd25-7d91-b75c-c8189bcbd01c,0.1854847850136118,0.25707003604482537,0
019cba1f-c489-7a78-933d-87255144083f,0.16199817884671971,0.2320621363495303,0
019cba23-05e9-7c28-aa07-5209db9333ea,0.003522833659755419,0.1250356552738597,1
019cba47-6a36-7be6-8b7a-0003b778ff03,0.17654077510778407,0.23959351935738302,0
019cba47-d38b-73f8-a0a7-e39e4f399117,0.17705031176049685,0.23716656758047677,0
019cba48-148c-7e5b-b9ad-f6e677c093cc,0.17550895899221824,0.23567678689084762,0
019cba48-5e4d-73c8-87d4-4ca60662e270,0.17575076559987854,0.23599207481789203,0
019cba48-9a7f-7366-afa6-94966fa973da,0.17691685398173246,0.23704607939360556,0
019cba49-3a6e-7c77-bb98-b3c0f6498b42,0.27931650624723614,0.2589894041878148,0
019cbaa3-3af6-7568-acc4-b5898a2bdd67,0.17728879536396283,0.27676020309167326,0
019cbd20-bf1c-742d-adc8-629a850efbcd,0.17715764744538845,0.23726345121789563,0
019cbd25-5c36-76df-91f9-cd91970eab1e,0.17718593914559227,0.23728898483156166,0
019cbd26-32e5-73df-aa7c-10049e96716a,0.17700002372486065,0.23712117000343125,0
019cbd26-8de5-7387-8898-77c5052f4255,0.1769006407677138,0.237031439823559,0
019cbd26-b23f-7cd3-9510-55f3836d22a8,0.17577357391061577,0.2360127121875063,0
019cbd26-e724-78cd-8fd9-cfeaef1003c7,0.1764924691797945,0.2366627438139736,0
019cbd27-1254-7e20-bbd6-caf636ebe31e,0.17622932623421594,0.23642490589664786,0
019cbd3f-3f27-7e22-9f4c-2b1f24219097,0.17721674584763103,0.2402089874620506,0
019cbd6f-3014-7c2b-89d2-06a6e4af260f,0.17702064735738346,0.23713978850731673,0
019cbd6f-4cd9-70af-b9b5-be65f0ef6522,0.17704104119749062,0.23715819887945164,0
019cbd6f-66bf-77ff-adee-8acf45765114,0.17521052774492002,0.23550300727062526,0
019cbd6f-a84f-7d08-964a-ae1b70e91fa2,0.1770097559805319,0.2371299561287313,0
019cbd98-aca5-7cf6-b641-34eec0310872,0.1737073401506274,0.23700532365685614,0
019cbdb6-9df5-7e89-ba9c-9d434a50c89e,0.17722420839228387,0.23732352123552855,0
019cbdc3-e63d-778b-88f5-379958ba79f1,0.17501167378814356,0.2410970543129317,0
019cbdcc-e382-7877-9619-ad6911fd65aa,0.16875569046697428,0.23244902155180364,0
019cbdd5-fded-7724-9c2c-0ce8e4df5ecf,0.6502911812261059,0.25490765727660697,0
019cbe05-5297-781f-b175-cc3fc8889aca,0.17665596905927244,0.23681046375111028,0
019cbe38-2c1a-7a81-a19c-bd2ca293ecd0,0.17061596952511052,0.234165814349619,0
019cbe74-4df3-71ae-8e8f-d925c0a84e97,0.1766703130100597,0.23682342123368205,0
019cbe7b-cd6c-7fbd-b616-d8d9c71a97a8,0.1379637260386401,0.21142979195029413,0
019cbe81-475e-75f0-9aa5-592e9b811127,0.9750911860294699,0.9588377747837511,0
019cbe8d-3b30-7c8f-bf51-9d8fe1b3e578,0.2597214323544235,0.2627132622708166,0
019cbe98-ba0b-7a50-aeec-febb2358ca95,0.328503307734251,0.24447452081874058,0
019cbeb3-e3d8-7682-bcb6-df5e5fdcfa9a,0.1765012538567188,0.23667068176180026,0
019cbeb4-f878-7a2e-bb80-f156da534bb9,0.17670918528279728,0.23685853447289826,0
019cbeb5-7c93-7107-8b2b-27575c6b500e,0.5141479854164144,0.23576775528526095,0
019cbed1-9519-75ac-8297-0dc142b9e403,0.17674760166857797,0.2368932334873642,0
019cbedc-16bc-7993-9587-2745cd7433f6,0.1754864837694303,0.2386320649504202,0
019cbedc-a924-7808-8138-405680dd166e,0.17701856173212255,0.23713790568803508,0
019cbedd-0b9f-7ca7-9eab-e6c3cceb6099,0.8427629125499564,0.5296815446609355,0
019cbef7-2e7a-7cec-9c0d-bd9a729b2a75,0.15952701492970023,0.23243082159631143,0
019cbef7-5997-727c-a16d-0a5db8e6f923,0.22672397795963156,0.2180796663398219,0
019cbef7-71aa-775d-ad7d-8d9b346271d5,0.17550895899221824,0.23567678689084762,0
019cbf8b-e422-7355-9406-8966aca2941a,0.17716692300529974,0.23727182267023667,0
019cbf8c-9d78-77b9-b4a4-861a482e98ff,0.843122273684111,0.6524562922073076,0
019cbfa5-76a5-73b8-83a0-8f53ba632021,0.6676009049687488,0.5170088421954099,0
019cbfa5-9721-7534-9663-dd568a9d5840,0.17742860915990957,0.24040173136781742,0
019cbfa9-15a2-7231-b4e2-b90d23adfe55,0.5431718873667039,0.26861776094721446,0
019cbfab-6101-76cf-8331-b7fbecd10a09,0.17786761280606483,0.2408008805081425,0
019cbfbe-4c8f-7fff-93d5-772479cff42f,0.5412239951798069,0.27441117897684075,0
